PartNo,Name,PlacedLayer,X,Y,Angle,ECADAngle,PartName,ECADPartName,PackageName,Fixed,width,height,left,top,pins
35,SW2,TOP,64.5,44.3,0,0,EBF61475101,EBF61475101,sw-smd-slide-8pin-1.27p-6.2x8.1w-2.3h,FALSE,6.2,9.1,61.3970703125,39.75907643461425,"['(62.5920703125, 40.50907643461425)', '(63.8620703125, 40.50907643461425)', '(65.1320703125, 40.50907643461425)', '(66.4020703125, 40.50907643461425)', '(66.4020703125, 48.109076434614245)', '(65.1320703125, 48.109076434614245)', '(63.8620703125, 48.109076434614245)', '(62.5920703125, 48.109076434614245)']"
35,SW3,TOP,71.9,44.3,0,0,EBF61475101,EBF61475101,sw-smd-slide-8pin-1.27p-6.2x8.1w-2.3h,FALSE,6.2,9.1,68.7798828125,39.75907643461425,"['(69.9748828125, 40.50907643461425)', '(71.2448828125, 40.50907643461425)', '(72.5148828125, 40.50907643461425)', '(73.7848828125, 40.50907643461425)', '(73.7848828125, 48.109076434614245)', '(72.5148828125, 48.109076434614245)', '(71.2448828125, 48.109076434614245)', '(69.9748828125, 48.109076434614245)']"
35,SW4,TOP,79.3,44.3,0,0,EBF61475101,EBF61475101,sw-smd-slide-8pin-1.27p-6.2x8.1w-2.3h,FALSE,6.2,9.1,76.1626953125,39.75907643461425,"['(77.3576953125, 40.50907643461425)', '(78.6276953125, 40.50907643461425)', '(79.8976953125, 40.50907643461425)', '(81.1676953125, 40.50907643461425)', '(81.1676953125, 48.109076434614245)', '(79.8976953125, 48.109076434614245)', '(78.6276953125, 48.109076434614245)', '(77.3576953125, 48.109076434614245)']"
35,SW_FLASH,TOP,92.4,18.2,0,0,EBF61475101,EBF61475101,sw-smd-slide-8pin-1.27p-6.2x8.1w-2.3h,FALSE,6.2,9.1,89.2876953125,13.646534869899586,"['(90.4826953125, 14.396534869899586)', '(91.7526953125, 14.396534869899586)', '(93.0226953125, 14.396534869899586)', '(94.2926953125, 14.396534869899586)', '(94.2926953125, 21.996534869899588)', '(93.0226953125, 21.996534869899588)', '(91.7526953125, 21.996534869899588)', '(90.4826953125, 21.996534869899588)']"
3,C06,TOP,94.4,46.2,270,270,0CE107WH6D8,0CE107WH6D8,cap-smd-2pin-4.55p-6.6x7.2w-7.7h-e,FALSE,6.600000000000001,8.300000000000002,91.1384765625,42.00957150612946,"['(94.4384765625, 48.70957150612946)', '(94.4384765625, 43.60957150612946)']"
34,RESET_1,TOP,88.9,35.9,270,270,EBF61474701,EBF61474701,sw-smd-tact-4pin-3.0p-8.2x4.5w-3.8h,FALSE,4.500000000000002,9.7,86.6513671875,31.029043331044946,"['(90.4013671875, 39.97904333104495)', '(90.4013671875, 31.779043331044946)', '(87.4013671875, 39.97904333104495)', '(87.4013671875, 31.779043331044946)']"
34,RESET_2,TOP,49.7,44.5,90,90,EBF61474701,EBF61474701,sw-smd-tact-4pin-3.0p-8.2x4.5w-3.8h,FALSE,4.500000000000001,9.7,47.4814453125,39.66468699811593,"['(48.2314453125, 40.41468699811593)', '(48.2314453125, 48.614686998115936)', '(51.2314453125, 40.41468699811593)', '(51.2314453125, 48.614686998115936)']"
20,OSC01M,TOP,56.5,29.5,270,270,6212A90001L,6212A90001L,osc-imd-cst-3pin-2.5p-8.0x3.0w-5.5h,FALSE,4.00000148202514,9.000000000000213,54.49902326265445,25.005115208902435,"['(56.4990234375, 27.00511586249255)', '(56.4990234375, 29.50511586249255)', '(56.4990234375, 32.005115862492545)']"
21,Q01,TOP,15.9,29.9,0,0,0TR102008AA,0TR102008AA,tr-smd-sot23-3pin-1.9p-2.93x2.4w-1.3h,FALSE,2.93,3.3000000000000003,14.4285546875,28.266336989495933,"['(14.9435546875, 28.81633698949593)', '(15.8935546875, 31.016336989495933)', '(16.8435546875, 28.81633698949593)']"
21,Q02,TOP,21.4,29.9,0,0,0TR102008AA,0TR102008AA,tr-smd-sot23-3pin-1.9p-2.93x2.4w-1.3h,FALSE,2.93,3.3000000000000003,19.9656640625,28.266336989495933,"['(20.4806640625, 28.81633698949593)', '(21.4306640625, 31.016336989495933)', '(22.3806640625, 28.81633698949593)']"
21,Q03,TOP,28.2,29.9,0,0,0TR102008AA,0TR102008AA,tr-smd-sot23-3pin-1.9p-2.93x2.4w-1.3h,FALSE,2.93,3.3000000000000003,26.7332421875,28.266336989495933,"['(27.2482421875, 28.81633698949593)', '(28.1982421875, 31.016336989495933)', '(29.1482421875, 28.81633698949593)']"
21,Q04,TOP,34.1,29.9,0,0,0TR102008AA,0TR102008AA,tr-smd-sot23-3pin-1.9p-2.93x2.4w-1.3h,FALSE,2.93,3.3000000000000003,32.6805078125,28.266336989495933,"['(33.1955078125, 28.81633698949593)', '(34.1455078125, 31.016336989495933)', '(35.0955078125, 28.81633698949593)']"
7,C03M,TOP,62.0,36.5,90,90,EAE61081701,EAE61081701,cap-smd-2pin-3216-1.6h,FALSE,1.7000000000000002,4.300000000000001,61.1861328125,34.34587502155002,"['(62.0361328125, 34.89587502155002)', '(62.0361328125, 38.09587502155002)']"
7,C07M,TOP,70.0,28.1,270,270,EAE61081701,EAE61081701,cap-smd-2pin-3216-1.6h,FALSE,1.7000000000000008,4.300000000000001,69.1841796875,25.915841917980714,"['(70.0341796875, 29.665841917980718)', '(70.0341796875, 26.465841917980715)']"
13,D01M,TOP,64.7,30.1,90,90,EAH61515501,EAH61515501,diode-smd-2pin-2513-0.7h,FALSE,1.2500000000000002,3.2,64.0771484375,28.52194755299762,"['(64.7021484375, 29.07194755299762)', '(64.7021484375, 31.171947552997622)']"
16,L02L,TOP,13.6,48.8,90,90,EAV60669501-BF-L02L,EAV60669501,optic-smd-2pin-1608-0.6h,FALSE,0.9000000000000001,2.3,13.1876953125,47.68250883165143,"['(13.6376953125, 48.08250883165143)', '(13.6376953125, 49.58250883165143)']"
